date,season,product,location,product_price_per_unit
2024-03-01,Summer,Tomato,Rajshahi,44.53
2024-03-01,Summer,Rice,Khulna,90.94
2024-03-01,Summer,Onion,Khulna,38.98
2024-03-01,Summer,Potato,Khulna,51.97
2024-03-01,Summer,Green Chilli,Khulna,64.96
2024-03-01,Summer,Tomato,Khulna,45.47
2024-03-01,Summer,Rice,Dhaka,98.45
2024-03-01,Summer,Onion,Dhaka,42.19
2024-03-01,Summer,Potato,Dhaka,56.25
2024-03-01,Summer,Green Chilli,Dhaka,70.32
2024-03-01,Summer,Tomato,Dhaka,49.22
2024-03-01,Summer,Rice,Chittagong,96.57
2024-03-01,Summer,Onion,Chittagong,41.39
2024-03-01,Summer,Potato,Chittagong,55.18
2024-03-01,Summer,Green Chilli,Chittagong,68.98
2024-03-01,Summer,Tomato,Chittagong,48.29
2024-03-01,Summer,Rice,Sylhet,95.63
2024-03-01,Summer,Onion,Sylhet,40.99
2024-03-01,Summer,Potato,Sylhet,54.65
2024-03-01,Summer,Green Chilli,Sylhet,68.31
2024-03-01,Summer,Tomato,Sylhet,47.82
2024-03-31,Summer,Rice,Rajshahi,89.07
2024-03-31,Summer,Onion,Rajshahi,38.17
2024-03-31,Summer,Potato,Rajshahi,50.9
2024-03-31,Summer,Green Chilli,Rajshahi,63.62
2024-03-31,Summer,Tomato,Rajshahi,44.53
2024-03-31,Summer,Rice,Khulna,90.94
2024-03-31,Summer,Onion,Khulna,38.98
2024-03-31,Summer,Potato,Khulna,51.97
2024-03-31,Summer,Green Chilli,Khulna,64.96
2024-03-31,Summer,Tomato,Khulna,45.47
2024-03-31,Summer,Rice,Dhaka,98.45
2024-03-31,Summer,Onion,Dhaka,42.19
2024-03-31,Summer,Potato,Dhaka,56.25
2024-03-31,Summer,Green Chilli,Dhaka,70.32
2024-03-31,Summer,Tomato,Dhaka,49.22
2024-03-31,Summer,Rice,Chittagong,96.57
2024-03-31,Summer,Onion,Chittagong,41.39
2024-03-31,Summer,Potato,Chittagong,55.18
2024-03-31,Summer,Green Chilli,Chittagong,68.98
2024-03-31,Summer,Tomato,Chittagong,48.29
2024-03-31,Summer,Rice,Sylhet,95.63
2024-03-31,Summer,Onion,Sylhet,40.99
2024-03-31,Summer,Potato,Sylhet,54.65
2024-03-31,Summer,Green Chilli,Sylhet,68.31
2024-03-31,Summer,Tomato,Sylhet,47.82
2024-04-30,Summer,Rice,Rajshahi,98.96
2024-04-30,Summer,Onion,Rajshahi,42.41
2024-04-30,Summer,Potato,Rajshahi,56.55
2024-04-30,Summer,Green Chilli,Rajshahi,70.68
2024-04-30,Summer,Tomato,Rajshahi,49.48
2024-04-30,Summer,Rice,Khulna,101.04
2024-04-30,Summer,Onion,Khulna,43.3
2024-04-30,Summer,Potato,Khulna,57.74
2024-04-30,Summer,Green Chilli,Khulna,72.17
2024-04-30,Summer,Tomato,Khulna,50.52
2024-04-30,Summer,Rice,Dhaka,109.37
2024-04-30,Summer,Onion,Dhaka,46.87
2024-04-30,Summer,Potato,Dhaka,62.5
2024-04-30,Summer,Green Chilli,Dhaka,78.12
2024-04-30,Summer,Tomato,Dhaka,54.69
2024-04-30,Summer,Rice,Chittagong,107.29
2024-04-30,Summer,Onion,Chittagong,45.98
2024-04-30,Summer,Potato,Chittagong,61.31
2024-04-30,Summer,Green Chilli,Chittagong,76.64
2024-04-30,Summer,Tomato,Chittagong,53.64
2024-04-30,Summer,Rice,Sylhet,106.25
2024-04-30,Summer,Onion,Sylhet,45.53
2024-04-30,Summer,Potato,Sylhet,60.71
2024-04-30,Summer,Green Chilli,Sylhet,75.89
2024-04-30,Summer,Tomato,Sylhet,53.12
2024-05-30,Rainy,Rice,Rajshahi,90.86
2024-05-30,Rainy,Onion,Rajshahi,59.91
2024-05-30,Rainy,Potato,Rajshahi,79.88
2024-05-30,Rainy,Green Chilli,Rajshahi,99.85
2024-05-30,Rainy,Tomato,Rajshahi,69.89
2024-05-30,Rainy,Rice,Khulna,92.77
2024-05-30,Rainy,Onion,Khulna,61.17
2024-05-30,Rainy,Potato,Khulna,81.56
2024-05-30,Rainy,Green Chilli,Khulna,101.95
2024-05-30,Rainy,Tomato,Khulna,71.36
2024-05-30,Rainy,Rice,Dhaka,100.42
2024-05-30,Rainy,Onion,Dhaka,66.21
2024-05-30,Rainy,Potato,Dhaka,88.28
2024-05-30,Rainy,Green Chilli,Dhaka,110.36
2024-05-30,Rainy,Tomato,Dhaka,77.25
2024-05-30,Rainy,Rice,Chittagong,98.51
2024-05-30,Rainy,Onion,Chittagong,64.95
2024-05-30,Rainy,Potato,Chittagong,86.6
2024-05-30,Rainy,Green Chilli,Chittagong,108.25
2024-05-30,Rainy,Tomato,Chittagong,75.78
2024-05-30,Rainy,Rice,Sylhet,97.55
2024-05-30,Rainy,Onion,Sylhet,64.32
2024-05-30,Rainy,Potato,Sylhet,85.76
2024-05-30,Rainy,Green Chilli,Sylhet,107.2
2024-05-30,Rainy,Tomato,Sylhet,75.04
2024-06-29,Rainy,Rice,Rajshahi,91.77
2024-06-29,Rainy,Onion,Rajshahi,60.51
2024-06-29,Rainy,Potato,Rajshahi,80.68
2024-06-29,Rainy,Green Chilli,Rajshahi,100.84
2024-06-29,Rainy,Tomato,Rajshahi,70.59
2024-06-29,Rainy,Rice,Khulna,93.7
2024-06-29,Rainy,Onion,Khulna,61.78
2024-06-29,Rainy,Potato,Khulna,82.37
2024-06-29,Rainy,Green Chilli,Khulna,102.97
2024-06-29,Rainy,Tomato,Khulna,72.08
2024-06-29,Rainy,Rice,Dhaka,101.43
2024-06-29,Rainy,Onion,Dhaka,66.88
2024-06-29,Rainy,Potato,Dhaka,89.17
2024-06-29,Rainy,Green Chilli,Dhaka,111.46
2024-06-29,Rainy,Tomato,Dhaka,78.02
2024-06-29,Rainy,Rice,Chittagong,99.5
2024-06-29,Rainy,Onion,Chittagong,65.6
2024-06-29,Rainy,Potato,Chittagong,87.47
2024-06-29,Rainy,Green Chilli,Chittagong,109.34
2024-06-29,Rainy,Tomato,Chittagong,76.54
2024-06-29,Rainy,Rice,Sylhet,98.53
2024-06-29,Rainy,Onion,Sylhet,64.97
2024-06-29,Rainy,Potato,Sylhet,86.62
2024-06-29,Rainy,Green Chilli,Sylhet,108.28
2024-06-29,Rainy,Tomato,Sylhet,75.79
2024-07-29,Rainy,Rice,Rajshahi,92.69
2024-07-29,Rainy,Onion,Rajshahi,61.11
2024-07-29,Rainy,Potato,Rajshahi,81.48
2024-07-29,Rainy,Green Chilli,Rajshahi,101.85
2024-07-29,Rainy,Tomato,Rajshahi,71.3
2024-07-29,Rainy,Rice,Khulna,94.64
2024-07-29,Rainy,Onion,Khulna,62.4
2024-07-29,Rainy,Potato,Khulna,83.2
2024-07-29,Rainy,Green Chilli,Khulna,104.0
2024-07-29,Rainy,Tomato,Khulna,72.8
2024-07-29,Rainy,Rice,Dhaka,102.44
2024-07-29,Rainy,Onion,Dhaka,67.54
2024-07-29,Rainy,Potato,Dhaka,90.06
2024-07-29,Rainy,Green Chilli,Dhaka,112.57
2024-07-29,Rainy,Tomato,Dhaka,78.8
2024-07-29,Rainy,Rice,Chittagong,100.49
2024-07-29,Rainy,Onion,Chittagong,66.26
2024-07-29,Rainy,Potato,Chittagong,88.34
2024-07-29,Rainy,Green Chilli,Chittagong,110.43
2024-07-29,Rainy,Tomato,Chittagong,77.3
2024-07-29,Rainy,Rice,Sylhet,99.52
2024-07-29,Rainy,Onion,Sylhet,65.61
2024-07-29,Rainy,Potato,Sylhet,87.49
2024-07-29,Rainy,Green Chilli,Sylhet,109.36
2024-07-29,Rainy,Tomato,Sylhet,76.55
2024-08-28,Rainy,Rice,Rajshahi,93.61
2024-08-28,Rainy,Onion,Rajshahi,61.72
2024-08-28,Rainy,Potato,Rajshahi,82.3
2024-08-28,Rainy,Green Chilli,Rajshahi,102.87
2024-08-28,Rainy,Tomato,Rajshahi,72.01
2024-08-28,Rainy,Rice,Khulna,95.58
2024-08-28,Rainy,Onion,Khulna,63.02
2024-08-28,Rainy,Potato,Khulna,84.03
2024-08-28,Rainy,Green Chilli,Khulna,105.04
2024-08-28,Rainy,Tomato,Khulna,73.53
2024-08-28,Rainy,Rice,Dhaka,103.47
2024-08-28,Rainy,Onion,Dhaka,68.22
2024-08-28,Rainy,Potato,Dhaka,90.96
2024-08-28,Rainy,Green Chilli,Dhaka,113.7
2024-08-28,Rainy,Tomato,Dhaka,79.59
2024-08-28,Rainy,Rice,Chittagong,101.5
2024-08-28,Rainy,Onion,Chittagong,66.92
2024-08-28,Rainy,Potato,Chittagong,89.23
2024-08-28,Rainy,Green Chilli,Chittagong,111.53
2024-08-28,Rainy,Tomato,Chittagong,78.07
2024-08-28,Rainy,Rice,Sylhet,100.51
2024-08-28,Rainy,Onion,Sylhet,66.27
2024-08-28,Rainy,Potato,Sylhet,88.36
2024-08-28,Rainy,Green Chilli,Sylhet,110.45
2024-08-28,Rainy,Tomato,Sylhet,77.32
2024-09-27,Autumn,Rice,Rajshahi,94.55
2024-09-27,Autumn,Onion,Rajshahi,40.52
2024-09-27,Autumn,Potato,Rajshahi,54.03
2024-09-27,Autumn,Green Chilli,Rajshahi,67.54
2024-09-27,Autumn,Tomato,Rajshahi,47.27
2024-09-27,Autumn,Rice,Khulna,96.54
2024-09-27,Autumn,Onion,Khulna,41.37
2024-09-27,Autumn,Potato,Khulna,55.17
2024-09-27,Autumn,Green Chilli,Khulna,68.96
2024-09-27,Autumn,Tomato,Khulna,48.27
2024-09-27,Autumn,Rice,Dhaka,104.5
2024-09-27,Autumn,Onion,Dhaka,44.79
2024-09-27,Autumn,Potato,Dhaka,59.72
2024-09-27,Autumn,Green Chilli,Dhaka,74.64
2024-09-27,Autumn,Tomato,Dhaka,52.25
2024-09-27,Autumn,Rice,Chittagong,102.51
2024-09-27,Autumn,Onion,Chittagong,43.93
2024-09-27,Autumn,Potato,Chittagong,58.58
2024-09-27,Autumn,Green Chilli,Chittagong,73.22
2024-09-27,Autumn,Tomato,Chittagong,51.26
2024-09-27,Autumn,Rice,Sylhet,101.52
2024-09-27,Autumn,Onion,Sylhet,43.51
2024-09-27,Autumn,Potato,Sylhet,58.01
2024-09-27,Autumn,Green Chilli,Sylhet,72.51
2024-09-27,Autumn,Tomato,Sylhet,50.76
2024-10-27,Autumn,Rice,Rajshahi,105.04
2024-10-27,Autumn,Onion,Rajshahi,45.02
2024-10-27,Autumn,Potato,Rajshahi,60.03
2024-10-27,Autumn,Green Chilli,Rajshahi,75.03
2024-10-27,Autumn,Tomato,Rajshahi,52.52
2024-10-27,Autumn,Rice,Khulna,107.26
2024-10-27,Autumn,Onion,Khulna,45.97
2024-10-27,Autumn,Potato,Khulna,61.29
2024-10-27,Autumn,Green Chilli,Khulna,76.61
2024-10-27,Autumn,Tomato,Khulna,53.63
2024-10-27,Autumn,Rice,Dhaka,116.1
2024-10-27,Autumn,Onion,Dhaka,49.76
2024-10-27,Autumn,Potato,Dhaka,66.34
2024-10-27,Autumn,Green Chilli,Dhaka,82.93
2024-10-27,Autumn,Tomato,Dhaka,58.05
2024-10-27,Autumn,Rice,Chittagong,113.89
2024-10-27,Autumn,Onion,Chittagong,48.81
2024-10-27,Autumn,Potato,Chittagong,65.08
2024-10-27,Autumn,Green Chilli,Chittagong,81.35
2024-10-27,Autumn,Tomato,Chittagong,56.94
2024-10-27,Autumn,Rice,Sylhet,112.78
2024-10-27,Autumn,Onion,Sylhet,48.34
2024-10-27,Autumn,Potato,Sylhet,64.45
2024-10-27,Autumn,Green Chilli,Sylhet,80.56
2024-10-27,Autumn,Tomato,Sylhet,56.39
2024-11-26,Autumn,Rice,Rajshahi,96.45
2024-11-26,Autumn,Onion,Rajshahi,41.34
2024-11-26,Autumn,Potato,Rajshahi,55.11
2024-11-26,Autumn,Green Chilli,Rajshahi,68.89
2024-11-26,Autumn,Tomato,Rajshahi,48.22
2024-11-26,Autumn,Rice,Khulna,98.48
2024-11-26,Autumn,Onion,Khulna,42.21
2024-11-26,Autumn,Potato,Khulna,56.27
2024-11-26,Autumn,Green Chilli,Khulna,70.34
2024-11-26,Autumn,Tomato,Khulna,49.24
2024-11-26,Autumn,Rice,Dhaka,106.6
2024-11-26,Autumn,Onion,Dhaka,45.69
2024-11-26,Autumn,Potato,Dhaka,60.92
2024-11-26,Autumn,Green Chilli,Dhaka,76.14
2024-11-26,Autumn,Tomato,Dhaka,53.3
2024-11-26,Autumn,Rice,Chittagong,104.57
2024-11-26,Autumn,Onion,Chittagong,44.82
2024-11-26,Autumn,Potato,Chittagong,59.76
2024-11-26,Autumn,Green Chilli,Chittagong,74.69
2024-11-26,Autumn,Tomato,Chittagong,52.29
2024-11-26,Autumn,Rice,Sylhet,103.56
2024-11-26,Autumn,Onion,Sylhet,44.38
2024-11-26,Autumn,Potato,Sylhet,59.18
2024-11-26,Autumn,Green Chilli,Sylhet,73.97
2024-11-26,Autumn,Tomato,Sylhet,51.78
2024-12-26,Winter,Rice,Rajshahi,74.93
2024-12-26,Winter,Onion,Rajshahi,32.11
2024-12-26,Winter,Potato,Rajshahi,42.82
2024-12-26,Winter,Green Chilli,Rajshahi,53.52
2024-12-26,Winter,Tomato,Rajshahi,37.47
2024-12-26,Winter,Rice,Khulna,76.51
2024-12-26,Winter,Onion,Khulna,32.79
2024-12-26,Winter,Potato,Khulna,43.72
2024-12-26,Winter,Green Chilli,Khulna,54.65
2024-12-26,Winter,Tomato,Khulna,38.26
2024-12-26,Winter,Rice,Dhaka,82.82
2024-12-26,Winter,Onion,Dhaka,35.49
2024-12-26,Winter,Potato,Dhaka,47.33
2024-12-26,Winter,Green Chilli,Dhaka,59.16
2024-12-26,Winter,Tomato,Dhaka,41.41
2024-12-26,Winter,Rice,Chittagong,81.24
2024-12-26,Winter,Onion,Chittagong,34.82
2024-12-26,Winter,Potato,Chittagong,46.43
2024-12-26,Winter,Green Chilli,Chittagong,58.03
2024-12-26,Winter,Tomato,Chittagong,40.62
2024-12-26,Winter,Rice,Sylhet,80.46
2024-12-26,Winter,Onion,Sylhet,34.48
2024-12-26,Winter,Potato,Sylhet,45.97
2024-12-26,Winter,Green Chilli,Sylhet,57.47
2024-12-26,Winter,Tomato,Sylhet,40.23
2025-01-25,Winter,Rice,Rajshahi,75.68
2025-01-25,Winter,Onion,Rajshahi,32.44
2025-01-25,Winter,Potato,Rajshahi,43.25
2025-01-25,Winter,Green Chilli,Rajshahi,54.06
2025-01-25,Winter,Tomato,Rajshahi,37.84
2025-01-25,Winter,Rice,Khulna,77.28
2025-01-25,Winter,Onion,Khulna,33.12
2025-01-25,Winter,Potato,Khulna,44.16
2025-01-25,Winter,Green Chilli,Khulna,55.2
2025-01-25,Winter,Tomato,Khulna,38.64
2025-01-25,Winter,Rice,Dhaka,83.65
2025-01-25,Winter,Onion,Dhaka,35.85
2025-01-25,Winter,Potato,Dhaka,47.8
2025-01-25,Winter,Green Chilli,Dhaka,59.75
2025-01-25,Winter,Tomato,Dhaka,41.82
2025-01-25,Winter,Rice,Chittagong,82.06
2025-01-25,Winter,Onion,Chittagong,35.17
2025-01-25,Winter,Potato,Chittagong,46.89
2025-01-25,Winter,Green Chilli,Chittagong,58.61
2025-01-25,Winter,Tomato,Chittagong,41.03
2025-01-25,Winter,Rice,Sylhet,81.26
2025-01-25,Winter,Onion,Sylhet,34.83
2025-01-25,Winter,Potato,Sylhet,46.43
2025-01-25,Winter,Green Chilli,Sylhet,58.04
2025-01-25,Winter,Tomato,Sylhet,40.63
2025-02-24,Winter,Rice,Rajshahi,76.44
2025-02-24,Winter,Onion,Rajshahi,32.76
2025-02-24,Winter,Potato,Rajshahi,43.68
2025-02-24,Winter,Green Chilli,Rajshahi,54.6
2025-02-24,Winter,Tomato,Rajshahi,38.22
2025-02-24,Winter,Rice,Khulna,78.05
2025-02-24,Winter,Onion,Khulna,33.45
2025-02-24,Winter,Potato,Khulna,44.6
2025-02-24,Winter,Green Chilli,Khulna,55.75
2025-02-24,Winter,Tomato,Khulna,39.02
2025-02-24,Winter,Rice,Dhaka,84.49
2025-02-24,Winter,Onion,Dhaka,36.21
2025-02-24,Winter,Potato,Dhaka,48.28
2025-02-24,Winter,Green Chilli,Dhaka,60.35
2025-02-24,Winter,Tomato,Dhaka,42.24
2025-02-24,Winter,Rice,Chittagong,82.88
2025-02-24,Winter,Onion,Chittagong,35.52
2025-02-24,Winter,Potato,Chittagong,47.36
2025-02-24,Winter,Green Chilli,Chittagong,59.2
2025-02-24,Winter,Tomato,Chittagong,41.44
2025-02-24,Winter,Rice,Sylhet,82.07
2025-02-24,Winter,Onion,Sylhet,35.17
2025-02-24,Winter,Potato,Sylhet,46.9
2025-02-24,Winter,Green Chilli,Sylhet,58.62
2025-02-24,Winter,Tomato,Sylhet,41.04
2025-03-26,Summer,Rice,Rajshahi,100.37
2025-03-26,Summer,Onion,Rajshahi,43.01
2025-03-26,Summer,Potato,Rajshahi,57.35
2025-03-26,Summer,Green Chilli,Rajshahi,71.69
2025-03-26,Summer,Tomato,Rajshahi,50.18
2025-03-26,Summer,Rice,Khulna,102.48
2025-03-26,Summer,Onion,Khulna,43.92
2025-03-26,Summer,Potato,Khulna,58.56
2025-03-26,Summer,Green Chilli,Khulna,73.2
2025-03-26,Summer,Tomato,Khulna,51.24
2025-03-26,Summer,Rice,Dhaka,110.93
2025-03-26,Summer,Onion,Dhaka,47.54
2025-03-26,Summer,Potato,Dhaka,63.39
2025-03-26,Summer,Green Chilli,Dhaka,79.24
2025-03-26,Summer,Tomato,Dhaka,55.47
2025-03-26,Summer,Rice,Chittagong,108.82
2025-03-26,Summer,Onion,Chittagong,46.64
2025-03-26,Summer,Potato,Chittagong,62.18
2025-03-26,Summer,Green Chilli,Chittagong,77.73
2025-03-26,Summer,Tomato,Chittagong,54.41
2025-03-26,Summer,Rice,Sylhet,107.76
2025-03-26,Summer,Onion,Sylhet,46.18
2025-03-26,Summer,Potato,Sylhet,61.58
2025-03-26,Summer,Green Chilli,Sylhet,76.97
2025-03-26,Summer,Tomato,Sylhet,53.88
2025-04-25,Summer,Rice,Rajshahi,111.51
2025-04-25,Summer,Onion,Rajshahi,47.79
2025-04-25,Summer,Potato,Rajshahi,63.72
2025-04-25,Summer,Green Chilli,Rajshahi,79.65
2025-04-25,Summer,Tomato,Rajshahi,55.75
2025-04-25,Summer,Rice,Khulna,113.85
2025-04-25,Summer,Onion,Khulna,48.79
2025-04-25,Summer,Potato,Khulna,65.06
2025-04-25,Summer,Green Chilli,Khulna,81.32
2025-04-25,Summer,Tomato,Khulna,56.93
2025-04-25,Summer,Rice,Dhaka,123.24
2025-04-25,Summer,Onion,Dhaka,52.82
2025-04-25,Summer,Potato,Dhaka,70.43
2025-04-25,Summer,Green Chilli,Dhaka,88.03
2025-04-25,Summer,Tomato,Dhaka,61.62
2025-04-25,Summer,Rice,Chittagong,120.9
2025-04-25,Summer,Onion,Chittagong,51.81
2025-04-25,Summer,Potato,Chittagong,69.08
2025-04-25,Summer,Green Chilli,Chittagong,86.35
2025-04-25,Summer,Tomato,Chittagong,60.45
2025-04-25,Summer,Rice,Sylhet,119.72
2025-04-25,Summer,Onion,Sylhet,51.31
2025-04-25,Summer,Potato,Sylhet,68.41
2025-04-25,Summer,Green Chilli,Sylhet,85.52
2025-04-25,Summer,Tomato,Sylhet,59.86
2025-05-25,Rainy,Rice,Rajshahi,102.38
2025-05-25,Rainy,Onion,Rajshahi,67.51
2025-05-25,Rainy,Potato,Rajshahi,90.01
2025-05-25,Rainy,Green Chilli,Rajshahi,112.51
2025-05-25,Rainy,Tomato,Rajshahi,78.76
2025-05-25,Rainy,Rice,Khulna,104.54
2025-05-25,Rainy,Onion,Khulna,68.93
2025-05-25,Rainy,Potato,Khulna,91.9
2025-05-25,Rainy,Green Chilli,Khulna,114.88
2025-05-25,Rainy,Tomato,Khulna,80.41
2025-05-25,Rainy,Rice,Dhaka,113.16
2025-05-25,Rainy,Onion,Dhaka,74.61
2025-05-25,Rainy,Potato,Dhaka,99.48
2025-05-25,Rainy,Green Chilli,Dhaka,124.35
2025-05-25,Rainy,Tomato,Dhaka,87.05
2025-05-25,Rainy,Rice,Chittagong,111.0
2025-05-25,Rainy,Onion,Chittagong,73.19
2025-05-25,Rainy,Potato,Chittagong,97.59
2025-05-25,Rainy,Green Chilli,Chittagong,121.98
2025-05-25,Rainy,Tomato,Chittagong,85.39
2025-05-25,Rainy,Rice,Sylhet,109.93
2025-05-25,Rainy,Onion,Sylhet,72.48
2025-05-25,Rainy,Potato,Sylhet,96.64
2025-05-25,Rainy,Green Chilli,Sylhet,120.8
2025-05-25,Rainy,Tomato,Sylhet,84.56
2025-06-24,Rainy,Rice,Rajshahi,103.41
2025-06-24,Rainy,Onion,Rajshahi,68.18
2025-06-24,Rainy,Potato,Rajshahi,90.91
2025-06-24,Rainy,Green Chilli,Rajshahi,113.63
2025-06-24,Rainy,Tomato,Rajshahi,79.54
2025-06-24,Rainy,Rice,Khulna,105.58
2025-06-24,Rainy,Onion,Khulna,69.62
2025-06-24,Rainy,Potato,Khulna,92.82
2025-06-24,Rainy,Green Chilli,Khulna,116.03
2025-06-24,Rainy,Tomato,Khulna,81.22
2025-06-24,Rainy,Rice,Dhaka,114.29
2025-06-24,Rainy,Onion,Dhaka,75.36
2025-06-24,Rainy,Potato,Dhaka,100.48
2025-06-24,Rainy,Green Chilli,Dhaka,125.6
2025-06-24,Rainy,Tomato,Dhaka,87.92
2025-06-24,Rainy,Rice,Chittagong,112.11
2025-06-24,Rainy,Onion,Chittagong,73.92
2025-06-24,Rainy,Potato,Chittagong,98.56
2025-06-24,Rainy,Green Chilli,Chittagong,123.2
2025-06-24,Rainy,Tomato,Chittagong,86.24
2025-06-24,Rainy,Rice,Sylhet,111.03
2025-06-24,Rainy,Onion,Sylhet,73.2
2025-06-24,Rainy,Potato,Sylhet,97.61
2025-06-24,Rainy,Green Chilli,Sylhet,122.01
2025-06-24,Rainy,Tomato,Sylhet,85.4
2025-07-24,Rainy,Rice,Rajshahi,104.44
2025-07-24,Rainy,Onion,Rajshahi,68.86
2025-07-24,Rainy,Potato,Rajshahi,91.82
2025-07-24,Rainy,Green Chilli,Rajshahi,114.77
2025-07-24,Rainy,Tomato,Rajshahi,80.34
2025-07-24,Rainy,Rice,Khulna,106.64
2025-07-24,Rainy,Onion,Khulna,70.31
2025-07-24,Rainy,Potato,Khulna,93.75
2025-07-24,Rainy,Green Chilli,Khulna,117.19
2025-07-24,Rainy,Tomato,Khulna,82.03
2025-07-24,Rainy,Rice,Dhaka,115.43
2025-07-24,Rainy,Onion,Dhaka,76.11
2025-07-24,Rainy,Potato,Dhaka,101.48
2025-07-24,Rainy,Green Chilli,Dhaka,126.85
2025-07-24,Rainy,Tomato,Dhaka,88.8
2025-07-24,Rainy,Rice,Chittagong,113.24
2025-07-24,Rainy,Onion,Chittagong,74.66
2025-07-24,Rainy,Potato,Chittagong,99.55
2025-07-24,Rainy,Green Chilli,Chittagong,124.44
2025-07-24,Rainy,Tomato,Chittagong,87.1
2025-07-24,Rainy,Rice,Sylhet,112.14
2025-07-24,Rainy,Onion,Sylhet,73.94
2025-07-24,Rainy,Potato,Sylhet,98.58
2025-07-24,Rainy,Green Chilli,Sylhet,123.23
2025-07-24,Rainy,Tomato,Sylhet,86.26
2025-08-23,Rainy,Rice,Rajshahi,105.49
2025-08-23,Rainy,Onion,Rajshahi,69.55
2025-08-23,Rainy,Potato,Rajshahi,92.73
2025-08-23,Rainy,Green Chilli,Rajshahi,115.92
2025-08-23,Rainy,Tomato,Rajshahi,81.14
2025-08-23,Rainy,Rice,Khulna,107.71
2025-08-23,Rainy,Onion,Khulna,71.02
2025-08-23,Rainy,Potato,Khulna,94.69
2025-08-23,Rainy,Green Chilli,Khulna,118.36
2025-08-23,Rainy,Tomato,Khulna,82.85
2025-08-23,Rainy,Rice,Dhaka,116.59
2025-08-23,Rainy,Onion,Dhaka,76.87
2025-08-23,Rainy,Potato,Dhaka,102.5
2025-08-23,Rainy,Green Chilli,Dhaka,128.12
2025-08-23,Rainy,Tomato,Dhaka,89.68
2025-08-23,Rainy,Rice,Chittagong,114.37
2025-08-23,Rainy,Onion,Chittagong,75.41
2025-08-23,Rainy,Potato,Chittagong,100.54
2025-08-23,Rainy,Green Chilli,Chittagong,125.68
2025-08-23,Rainy,Tomato,Chittagong,87.98
2025-08-23,Rainy,Rice,Sylhet,113.26
2025-08-23,Rainy,Onion,Sylhet,74.68
2025-08-23,Rainy,Potato,Sylhet,99.57
2025-08-23,Rainy,Green Chilli,Sylhet,124.46
2025-08-23,Rainy,Tomato,Sylhet,87.12
2025-09-22,Autumn,Rice,Rajshahi,106.54
2025-09-22,Autumn,Onion,Rajshahi,45.66
2025-09-22,Autumn,Potato,Rajshahi,60.88
2025-09-22,Autumn,Green Chilli,Rajshahi,76.1
2025-09-22,Autumn,Tomato,Rajshahi,53.27
